Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research,Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Payment_Frequency,Time_to_Decision,Delivery_Status
CUST-000001,68.0,Male,Middle,Married,Master's,Manager,Phoenix,Beauty,39.74,10.0,In-Store,3,1,2.0,Low,Not Sensitive,0.12,1,Medium,Smartphone,Credit Card,2024-08-03 23:00:00,No,Yes,Wants-based,Standard,One-time,18,Returned
CUST-000002,48.0,Female,Middle,Single,High School,Engineer,New York,Sports,120.84,11.0,Online,3,3,13.0,Medium,Not Sensitive,0.05,8,High,Desktop,Cash,2024-03-23 13:00:00,Yes,No,Need-based,No Preference,Subscription,3,Delivered
CUST-000003,57.0,Male,Middle,Married,Doctorate,Manager,New York,Sports,189.59,7.0,Online,2,1,20.0,Low,Somewhat Sensitive,0.94,5,Medium,Desktop,Debit Card,2024-01-06 01:00:00,Yes,Yes,Wants-based,Standard,One-time,23,Returned
CUST-000004,41.0,Female,Low,Married,High School,Manager,Seattle,Furniture,321.55,11.0,In-Store,1,3,1.0,Low,Somewhat Sensitive,0.28,10,High,Smartphone,Cash,2024-06-06 04:00:00,Yes,Yes,Impulsive,No Preference,One-time,16,Returned
CUST-000005,31.0,Female,Low,Married,Master's,Manager,Seattle,Electronics,71.1,7.0,Online,2,4,13.0,Medium,Somewhat Sensitive,0.84,7,Medium,Tablet,Debit Card,2024-10-23 09:00:00,Yes,No,Planned,No Preference,One-time,18,Delivered
CUST-000006,50.0,Male,Low,Single,Doctorate,Technician,Denver,Beauty,439.53,4.0,In-Store,2,2,19.0,Medium,Very Sensitive,0.86,5,Medium,Tablet,PayPal,2023-01-26 17:00:00,No,Yes,Planned,Express,One-time,25,Returned
CUST-000007,19.0,Male,Low,Single,Master's,Engineer,New York,Groceries,174.37,18.0,Online,5,4,17.0,Medium,Somewhat Sensitive,0.27,6,High,Smartphone,Credit Card,2023-09-19 21:00:00,Yes,Yes,Wants-based,Standard,One-time,29,Delivered
CUST-000008,51.0,Female,Middle,Married,High School,Engineer,Miami,Groceries,282.1,4.0,Online,3,3,,High,Not Sensitive,0.78,4,High,Smartphone,Credit Card,2024-06-12 22:00:00,Yes,Yes,Planned,Standard,One-time,2,Returned
CUST-000009,39.0,Male,Low,Single,Bachelor's,Doctor,Chicago,Home Appliances,90.98,13.0,Online,4,3,4.0,High,Somewhat Sensitive,0.72,7,High,Smartphone,Credit Card,2024-07-20 04:00:00,No,Yes,Planned,Standard,Installments,11,Delivered
CUST-000010,61.0,Male,Middle,Married,High School,Teacher,Denver,Sports,351.94,18.0,Online,3,4,8.0,Low,Somewhat Sensitive,0.72,3,Medium,Smartphone,Debit Card,2023-02-06 20:00:00,No,Yes,Planned,Standard,One-time,4,Returned
CUST-000011,24.0,Female,Middle,Married,High School,Clerk,Phoenix,Clothing,182.31,4.0,Online,3,4,19.0,High,Somewhat Sensitive,0.72,3,None,Desktop,Debit Card,2023-05-26 19:00:00,Yes,No,Impulsive,Express,One-time,14,Returned
CUST-000012,31.0,Male,High,Single,High School,Teacher,Denver,Groceries,16.43,1.0,Online,5,4,7.0,Medium,Not Sensitive,0.28,5,Low,Smartphone,Credit Card,2023-11-29 14:00:00,No,No,Planned,Standard,One-time,24,Delivered
CUST-000013,26.0,Female,Middle,Married,Bachelor's,Technician,Houston,Sports,283.26,12.0,In-Store,1,2,7.0,Medium,Very Sensitive,0.69,5,High,Smartphone,Credit Card,2023-07-08 18:00:00,No,No,Need-based,No Preference,One-time,6,Returned
